Product Name,Original Price,Discounted Price,Features,Description,Ideal For,Date Added
Heart in Hands – Sculpted Candle,399.00,349.00,"hand-sculpted, heart design, fine detailing, smooth finish, decorative, gifting candle","A beautifully hand-sculpted candle featuring a heart gently cradled by caring hands, symbolising love, protection, and warmth. Crafted with fine detailing and smooth finish, this candle makes a meaningful gift that speaks without words. Perfect for romantic gifting, anniversaries, weddings, house-warmings, or spiritual décor, it adds elegance and emotion to any space. Even when unlit, it serves as a unique décor piece.",romantic gifting | anniversaries | weddings | house-warmings | spiritual décor | home & festive décor,2026-02-08
Eternal Rose Glow – Luxury Sculpted Candle,649.00,599.00,"hand-sculpted, premium-quality wax, detailed floral design, decorative, ambient lighting","A stunning hand-sculpted rose candle crafted to look like a blooming flower in full grace. With soft pink petals and a warm glowing flame, this candle instantly elevates any space with romance and elegance.","romantic gifts & proposals | luxury home décor | birthdays, anniversaries & celebrations",2026-02-08
Frosty Snowman Sculpted Candle,249.00,199.00,"hand-sculpted, knitted-style detailing, cheerful expressions, soft pastel colours, decorative, gifting candles","Adorable hand-sculpted snowman candle designed to bring warmth and joy to your winter décor. Featuring knitted-style detailing, cheerful expressions, and soft pastel colours, these candles are perfect for creating a cozy festive vibe.",Christmas & winter décor | Kids’ gifting & return gifts | Festive hampers & home styling,2026-02-08
Hand in hand heart– Luxury Couple Candle,299.00,249.00,"Hand-poured, Two-tone heart design, Symbol of love & connection, Premium wax, Clean & smooth burn","A beautifully handcrafted heart-shaped candle featuring two hands holding each other, symbolising love, trust and togetherness. This candle is designed to capture the warmth of a deep emotional bond and make every moment feel special.",Valentine’s Day | Anniversary gifts | Wedding & couple gifting | Romantic home décor,2026-02-08
Royal Peony Rose – Luxury Floral Candle,199.00,179.00,"Hand-poured, Realistic flower design, Premium wax, Clean & steady burn",A beautifully handcrafted rose-shaped candle designed to look like a real blooming peony. Its rich red color and detailed petals make it a stunning centerpiece for any space.,Gifting | Romantic décor | Bedroom & living room styling | Special occasions,2026-02-08
Couple Love Luxury Candle Combo,499.00,449.00,"Premium Soy Wax, Fragrance","A thoughtfully curated combo of two premium soy wax candles, handcrafted to celebrate love, warmth, and togetherness. Perfect for gifting on special occasions or adding a romantic touch to your space.",Anniversaries | Valentine’s Day | weddings & special gifting,2026-02-08
Blush Bubble – Aesthetic Cube Candle,129.00,99.00,"hand-poured, premium wax, smooth rounded bubbles, soft pastel tones","Add a touch of modern elegance to your space with our bubble cube candle. Designed with smooth rounded bubbles and soft pastel tones, this candle is perfect for minimalist décor, gifting, and aesthetic setups. Hand-poured using premium wax, it looks stunning both lit and unlit—making it ideal for coffee tables, shelves, photoshoots, and gift boxes.",coffee tables | shelves | photoshoots | gift boxes | minimalist décor | gifting | aesthetic setups,2026-02-08
Dotted Heart – Aesthetic Love Candle,99.00,79.00,"honeycomb heart candle, soft textured pattern, elegant heart shape, premium wax, hand-poured","Celebrate love with this beautifully crafted honeycomb heart candle. Designed with a soft textured pattern and elegant heart shape, it brings warmth, romance, and charm into any space.",gifting | Valentine’s Day | anniversaries | weddings | cozy home décor,2026-02-08
Blush Rose Whisper – Luxury Floral Candle,189.00,149.00,"Hand-poured, Soft floral design, Premium wax, Clean & smooth burn","A delicate rose-shaped candle designed to bring softness, warmth and romance into your space. Its elegant pink petals and cozy glow make it perfect for relaxing moments and thoughtful gifting.",Self-care evenings | Romantic décor | Gifting | Bedroom & vanity styling,2026-02-08
Pastel Twist – Aesthetic Spiral Candle,199.00,179.00,"hand-poured, pastel spiral, premium wax, clean burn, calming glow","Bring soft elegance into your space with our hand-poured pastel spiral candles. Designed to elevate any table, shelf, or celebration, these aesthetic taper candles add warmth and luxury to your décor. Crafted with premium wax and delicate pastel shades, each candle burns cleanly while creating a calming, cozy glow.",home décor | romantic dinners | birthday styling | cafés | gifting,2026-02-08
Wisdom Glow Owl Candle,129.00,99.00,"hand-crafted, owl shaped, wisdom, protection, positivity, detailed feather design, soft creamy finish, premium scented wax, clean and slow burn","A beautifully hand-crafted owl shaped candle symbolizing wisdom, protection, and positivity. Its detailed feather design and soft creamy finish make it a perfect decor piece as well as a thoughtful gift. Ideal for home décor, festive gifting, study desks, and cozy corners.",home décor | festive gifting | study desks | cozy corners,2026-02-08
Rose teddy Bear Heart Candle,599.00,549.00,"hand-crafted, rose-petal textures, scented, luxury look, romantic touch, slow-burn","A beautifully hand-crafted teddy bear candle made of delicate rose-petal textures, lovingly holding a heart in its arms. This design symbolizes love, warmth, and affection, making it a perfect gift for Valentine’s Day, anniversaries, weddings, or someone special. The detailed floral rose finish gives it a luxury look, while the smooth heart adds a soft romantic touch. It works both as a stunning décor piece and a slow-burn scented candle.",Valentine’s Day | anniversaries | weddings | someone special,2026-02-08
Blush Heart Cube Candle,249.00,199.00,"cube-shaped, heart shapes, modern aesthetic, smooth pastel finish, premium scented wax, clean burn, slow burn, drip-safe","A beautiful cube-shaped candle made from dozens of soft heart shapes, designed to glow with warmth and romance. Its modern aesthetic and smooth pastel finish make it perfect for home décor, gifting, and special occasions. This candle creates a cozy, luxury vibe whether placed on a bedside table, coffee table, or gift box.",home décor | gifting | special occasions,2026-02-08
Bloom of Calm – Lotus Candle,149.00,139.00,"handcrafted, soy candle, customisation available, bulk order available","Inspired by the purity of a lotus, this handcrafted soy candle symbolises calm, positivity, and new beginnings. A meaningful choice for gifting and celebrations.",gifting | celebrations,2026-02-08
Winter Wonderland – Festive Luxury Candle,749.00,649.00,"Hand-poured, Detailed festive design, Premium wax, Long-lasting, clean burn, Natural wooden bowl","A handcrafted decorative candle featuring a cute snowman, Christmas trees and festive details, beautifully set inside a premium wooden bowl. This candle brings the warmth, magic and joy of the holiday season into any home.",Christmas décor | Festive gifting | Living room centerpiece | Holiday hampers,2026-02-08
Teddy with bow Candle,199.00,179.00,"handcrafted, rose detailing, refined bow, elegant décor, premium gifting","A finely handcrafted teddy bear candle with delicate rose detailing and a refined bow, designed for elegant décor and premium gifting.",Premium gifting | elegant décor | special occasions,2026-02-08
Bloom & Glow Duo – Floral Candle Combo,120.00,85.00,"Hand-poured, Floral designs (Rose + Daisy), Premium wax, Clean & steady burn","A beautiful set of two handcrafted floral candles featuring a daisy and a rose in vibrant colors. This charming combo is perfect to add warmth, beauty and a touch of happiness to any space.",Return gifts | Festival hampers | Thank-you gifts | Table & room décor,2026-02-08
Amber Daisy Glow – Mini Floral Candle,74.00,49.00,"Hand-poured, Floral daisy design, Premium wax, Clean & steady burn","A beautifully handcrafted daisy-shaped candle designed to bring warmth, charm and elegance to any space. Its detailed petals and soft glow make it a lovely accent for home décor and gifting.",Return gifts | Table décor | Small hampers | Bedroom & vanity styling,2026-02-08
Small Rose candle,74.00,49.00,"Rose-shaped detailed design, Multicolor (assorted shades), Scented with a soothing fragrance, Compact tea light size, Ideal for gifting & décor, Smooth finish with steady burn","An elegant rose-shaped scented tea light candle, crafted to bring warmth, fragrance, and color to your space. Available in multiple vibrant colors with a soft, pleasant aroma, this candle is perfect for workstations, home décor, festive settings, and thoughtful gifting. Its compact size and detailed rose design make it a charming accent that enhances mood without overpowering the senses.",Workstation décor | Home ambience | Gift hampers | Festive & romantic settings,2026-02-08
Latte Coffee Candle– Luxury Scented Jar Candle,449.00,399.00,"Hand-poured, Premium glass jar, Clean & long-lasting burn","Create a warm, romantic candle-light atmosphere in your home. This handcrafted layered candle fills your space with a rich, soothing fragrance and soft golden glow.",Candle-light dinners | Cozy evenings | Gifting | Relaxation & self-care,2026-02-08
Golden Heart Glow – Luxury Scented Jar Candle,299.00,249.00,"Hand-poured, Gold-flake heart design, Premium glass jar, Clean & long-lasting burn","A beautiful handcrafted candle with a golden heart inside, designed to create a warm, romantic and luxurious atmosphere in any space.",Romantic evenings | Anniversary & Valentine gifts | Bedroom décor | Luxury home fragrance,2026-02-08
Tulip Bloom candle (Scented & Multicolor),45.00,40.00,"Tulip flower design, Multicolor variants, Scented for pleasant ambience, Compact & decorative, Ideal for gifting & table décor","A beautifully crafted tulip-shaped scented tea light candle, designed to bring elegance, fragrance, and a soft glow to any setting. Its delicate petal detailing and compact form make it perfect for romantic décor, workstations, gift hampers, and festive arrangements. Available in multiple vibrant colors with a gentle soothing aroma, this candle adds both visual charm and relaxing ambience without being overpowering.","romantic décor, workstations, gift hampers, festive arrangements",2026-02-08
